Development Name,Borough,Units,Score,Health & Safety Scores,Smoke Detector Deficiencies
Red Hook I (East),Brooklyn,1408,23,C,Yes
Queensbridge,Long Island City,1586,8,C,No
Ingersoll,Brooklyn,1720,35,C,No
Brownsville,Brooklyn,1325,18,C,No
J.W. Johnson,New York,1310,43,C,No
Lincoln,Manhattan,1285,34,C,Yes
Marcy,Brooklyn,1709,53,C,Yes
Wald,Manhattan,1861,24,C,No
Lester W. Patterson,Bronx,1789,56,C,Yes
Gowanus,Brooklyn,1136,12,C,No
Astoria,Astoria,1102,25,C,No
Governor Smith,New York,1935,33,C,Yes
Farragut,Brooklyn,1390,46,C,No
Woodside,Woodside,1357,26,C,Yes
Ralph J. Rangel,New York,984,9,C,No
St Nicholas,New York,1523,60,C,Yes
Dyckman,New York,1167,19,C,No
Glenwood,Brooklyn,1188,28,C,No
Ravenswood,Astoria,2166,24,C,No
Gen. Charles W. Berry,Staten Island,1008,45,C,Yes
Pomonok,Fresh Meadows,2071,50,C,Yes
Redfern,Far Rockaway,604,16,C,Yes
Breukelen,Brooklyn,1595,12,C,No
Edenwald,Bronx,2038,17,C,No
Carver,New York,1246,33,C,Yes
Forest,Bronx,2035,18,C,Yes
Van Dyke I,Brooklyn,1599,15,C,No
Brevoort,Brooklyn,895,25,C,No
Cooper Park,Brooklyn,699,38,C,No
Soundview,Bronx,1258,31,C,Yes
Howard,Brooklyn,1813,26,C,No
Mariners Harbor,Staten Island,607,40,C,No
Highbridge Gardens,Bronx,699,70,C,No
Red Hook Ii,Brooklyn,1473,18,C,Yes
General Grant,New York,1940,3,C,No
James Monroe,Bronx,1102,10,C,Yes
Louis Heaton Pink,Brooklyn,1500,19,C,No
Herbert H. Lehman Village,New York,622,61,C,Yes
Butler,Bronx,1492,48,C,No
John Adams,Bronx,925,63,C,No
Mott Haven,Bronx,993,32,C,Yes
Lafayette,Brooklyn,882,37,C,Yes
De Witt Clinton,New York,748,67,C,Yes
Robert Fulton,New York,944,57,C,Yes
Polo Grounds Towers,New York,1614,31,C,No
Bch.41 St/Bch. Channel Dr,Far Rockaway,712,15,C,No
Lavanburg Homes,New York,104,64,C,No
Queensbridge,Long Island City,1535,7,C,No
Whitman,Brooklyn,1642,24,C,No
Pss Grandparent Family Apartments,Bronx,50,45,C,No
Harlem River,New York,347,7,C,Yes
Vladeck,New York,1767,38,C,Yes
South Jamaica Ii,Jamaica,1041,33,C,Yes
East River,New York,2090,16,C,Yes
Kingsborough,Brooklyn,1345,30,C,Yes
West Brighton I & Ii,Staten Island,634,21,C,Yes
Jacob Riis,New York,1765,60,C,Yes
Amsterdam,New York,1459,20,C,Yes
Melrose,Bronx,1244,25,C,Yes
King Towers,New York,1375,22,C,Yes
Albany I & Ii,Brooklyn,1225,7,C,No
Bronx River & Addition,Bronx,1553,35,C,Yes
Eastchester Gardens,Bronx,1056,10,C,No
South Beach,Staten Island,699,57,C,No
Nostrand,Brooklyn,2204,70,C,Yes
Pelham Parkway,Bronx,1501,23,C,Yes
Sedgewick,Bronx,934,19,C,No
Parkside,Bronx,1612,63,C,Yes
Baruch,New York,2391,12,C,Yes
George Washington,New York,1961,43,C,Yes
Throggs Neck,Bronx,1724,37,C,Yes
Jefferson,New York,1664,12,C,Yes
Justice Sonia Sotomayor Houses,Bronx,1724,58,C,Yes
Cypress Hills,Brooklyn,1509,17,C,No
Sumner,Brooklyn,1418,10,C,Yes
Sen. Robert F. Wagner Sr.,New York,2162,63,C,Yes
Hammel,Queens,885,31,C,Yes
La Guardia,New York,1494,38,C,Yes
Frederick Douglass & Add.,New York,2351,14,C,No
Mill Brook & Extension,Bronx,1378,22,C,Yes
Hylan,Bronx,209,37,C,Yes
Baisley Park,Queens,916,64,C,Yes
E.R. Moore,Bronx,463,23,C,Yes
Sen. Robert A. Taft,New York,1570,58,C,No
Oceanbay Apartments (Oceanside),Far Rockaway,418,52,C,Yes
Samuel Gompers,New York,1510,31,C,Yes
Gouverneur Morris I,Bronx,1886,26,C,No
Richmond Terrace,Staten Island,869,48,C,No
De Hostos Apartments,New York,982,14,C,No
Tompkins,Brooklyn,1046,14,C,Yes
1010 E. 178th St.,Bronx,220,32,C,Yes
J.L. Elliot,New York,686,15,C,Yes
Eleanor Roosevelt I,Brooklyn,1104,35,C,No
Boston-Secor,Bronx,538,54,C,Yes
Stanley Isaacs,New York,1323,75,C,Yes
Daniel Webster,Bronx,812,65,B,Yes
John P. Mitchel,Bronx,1730,57,C,Yes
Nathan Straus,New York,267,69,C,No
Ocean Hill Apts,Brooklyn,361,68,C,No
Wyckoff Gardens,Brooklyn,829,46,C,Yes
Gerald J.Carey Gardens,Brooklyn,1256,69,C,Yes
William Reid Apts,Brooklyn,804,20,C,Yes
Langston Hughes Apts,Brooklyn,1032,63,C,No
Seth Low,Brooklyn,976,8,C,No
Surfside Gardens,Brooklyn,1508,38,C,Yes
Gravesend,Brooklyn,1332,58,C,Yes
Lewis H. Latimer Gardens,Flushing,919,18,C,No
Vandalia Avenue,Brooklyn,293,90,C,No
Ft Independence/Heath Ave,Bronx,577,72,C,No
Fha Repossessed Houses V,Queens,199,32,C,Yes
Stuyvesant Gardens I,Brooklyn,481,8,C,No
Twin Parks East (Site 9),Bronx,458,17,C,Yes
Taylor St/Wythe Ave,Brooklyn,525,48,C,Yes
U.P.A.C.A. Ura (Site 5),New York,636,29,C,No
Borinquen Plaza Stage I,Brooklyn,934,39,C,Yes
Marcus Garvey (Group A),Brooklyn,521,41,C,No
Pedro A. Campos Plaza Ii,New York,224,50,C,No
Unity Plaza Sites 4-27,Brooklyn,860,4,C,No
Andrew Jackson,Bronx,1711,10,C,Yes
Sack-Wern Houses,Bronx,814,40,C,Yes
Lower East Side Ii,New York,476,8,C,Yes
Claremont Group Iv,Bronx,749,33,C,Yes
Taft Rehab 201-203 W. 117,New York,268,41,C,Yes
University Ave Rehab,Bronx,414,57,C,Yes
Union Ave/E 163rd Site 5,Bronx,917,25,C,Yes
Howard Ave/Park Place,Brooklyn,894,18,C,No
Lower East Side Iii,New York,104,26,C,Yes
West Farms Road,Bronx,830,30,C,Yes
Highbrdge Rehab/Anderson Ave,Bronx,20,68,C,Yes
Marble Hill,Bronx,1425,24,C,Yes
Castle Hill,Bronx,1619,33,C,Yes
Manhattanville,New York,1068,11,C,No
Marlboro,Brooklyn,1413,32,C,Yes
Bushwick,Brooklyn,1011,37,C,No
Bay View,Brooklyn,1269,33,C,No
Saint Marys Park,Bronx,797,38,C,Yes
Rutgers,New York,619,49,C,No
Drew Hamilton,New York,934,11,C,Yes
Stapleton,Richmond,565,58,C,Yes
Chelsea,New York,357,51,C,Yes
Amsterdam Addition,New York,149,36,C,No
Frederick Samuel (City),New York,559,18,C,No
1070 Washington Avenue,Bronx,21,59,C,Yes
Prospect Plaza Phase I,Brooklyn,38,71,C,Yes
Prospect Plaza Phase Ii,Brooklyn,42,91,C,No
Randolph South,New York,147,68,C,Yes
